// INTEL CONFIDENTIAL
//
// Copyright 2025 Intel Corporation.
//
// This software and the related documents are Intel copyrighted materials, and
// your use of them is governed by the express license under which they were
// provided to you ("License"). Unless the License provides otherwise, you may
// not use, modify, copy, publish, distribute, disclose or transmit this software
// or the related documents without Intel's prior written permission.
//
// This software and the related documents are provided as is, with no express or
// implied warranties, other than those that are expressly stated in the License.
//,,,,,,,,,
// File: SHAVEIntrinsics.csv,,,,,,,,,
// Description: This CSV file contains the template from which the SHAVE ISA,,,,,,,,,
// intrinsics or built-ins are synthesised.,,,,,,,,,
,,,,,,,,,
// Intrinsics Table,,,,,,,,,
//FU,OPcode,Suffix,TDSuffix,RetType,#Args,ArgTypes,OtherInfo,Overload,CPUType
// ,,,,,,,,,
// FIELDS:,,,,,,,,,
//   0. Functional unit the instruction belongs to,,,,,,,,,
//   1. Name of the instruction,,,,,,,,,
//   2. Instruction suffix indicating type of instruction,,,,,,,,,
//   3. Optional additional suffix for TD name,,,,,,,,,
//   4. The return type of the instruction,,,,,,,,,
//   5. The number of arguments the instruction takes,,,,,,,,,
//   6. The types of each argument; seperated by '.',,,,,,,,,
//   7. Other,,,,,,,,,
//   8. Overload discriminator - used when the 'Other' column contains 'overload',,,,,,,,,
//   9. CPU type,,,,,,,,,
// ,,,,,,,,,
// Type Syntax:,,,,,,,,,
//     Prefix: R - Register value,,,,,,,,,
//               # - Immediate value,,,,,,,,,
//               P - Pointer Value,,,,,,,,,
//                   C - 'const' qualified pointer,,,,,,,,,
//                   V - 'volatile' qualified pointer,,,,,,,,,
"//     vxx - vector of xx items must be followed by 'ixx', 'uxx' or 'fxx'",,,,,,,,,
//     ixx - xx bit signed integer value,,,,,,,,,
//     uxx - xx bit unsigned integer value,,,,,,,,,
//     fxx - xx bit floating point value,,,,,,,,,
// ,,,,,,,,,
// OTHER: used to describe abnormal instruction traits,,,,,,,,,
//    can be a dot separated list of the following attributes:,,,,,,,,,
//      set to 'srcdst' without quotes to show that source is same as dest in instruction,,,,,,,,,
//      set to a constant hex value such as '0xf' for an immediate value added by the compiler,,,,,,,,,
//      set as 'notype' to show that the instruction is not prepended with type information,,,,,,,,,
//      set as 'boolimm' for a number of immediates that are represented in the instruction as booleans: instead of i8 i8 i8 i8 => [DEED],,,,,,,,,
//      set as 'colimm' for an immediate number which specifies a column of a vector: ex. v4i32 i8 => v20.1,,,,,,,,,
//      set as 'stol' for an intrinsic which stores the lower half of the result,,,,,,,,,
//      set as 'stoh' for an intrinsic which stores the higher half of the result,,,,,,,,,
//      set as 'overload' where the intrinsic needs multiple names because it can't be overloaded,,,,,,,,,
,,,,,,,,,
// Instruction Unit,Instruction Name,Instruction Suffix,TD Suffix,Return Type,Number of Arguments,Argument Types,Other,Overload,CPU Type
,,,,,,,,,
//,,,,,,,,,
//,,,,,,,,,
//,=========================================,,,,,,,,
//,1.6.3 BRU Instructions,,,,,,,,
//,=========================================,,,,,,,,
,,,,,,,,,
//,,,,,,,,,
//,1.6.3.10 BRU.SWIH,,,,,,,,
//,,Signal software interrupt and halt,,,,,,,
//,,The immediate operand has a value between 0 and 8191,,,,,,,
BRU,SWIH,,,,1,#u5,notype.noreturn,,
//,,,,,,,,,
//,1.6.3.11 BRU.SWIC,,,,,,,,
//,,Signal software interrupt and continue,,,,,,,
//,,The immediate operand has a value between 0 and 8191,,,,,,,
BRU,SWIC,,,,1,#u5,sideeffects.notype.,,
,,,,,,,,,
//,,,,,,,,,
//,,,,,,,,,
//,=========================================,,,,,,,,
//,1.6.4 CMU Instructions,,,,,,,,
//,=========================================,,,,,,,,
,,,,,,,,,
//,,,,,,,,,
//,1.6.4.1 CMU.ALIGNVEC,,,,,,,,
//,,Long vector align with byte offset,,,,,,,
CMU,ALIGNVEC,,vrf,Rv4f32,3,Rv4f32.Rv4f32.#i2,notype.overload,float4,HasVRF128
CMU,ALIGNVEC,,vrf,Rv8f16,3,Rv8f16.Rv8f16.#i2,notype.overload,half8,HasVRF128
CMU,ALIGNVEC,,vrf,Rv4i32,3,Rv4i32.Rv4i32.#i2,notype.overload,int4,HasVRF128
CMU,ALIGNVEC,,vrf,Rv8i16,3,Rv8i16.Rv8i16.#i2,notype.overload,short8,HasVRF128
CMU,ALIGNVEC,,vrf,Rv16i8,3,Rv16i8.Rv16i8.#i2,notype.overload,char16,HasVRF128
,,,,,,,,,
//,,,,,,,,,
//,1.6.4.2 CMU.CLAMP,,,,,,,,
//,,Clamp between zero and a positive value or between +/- a specified value,,,,,,,
CMU,CLAMP,f32,v4f32,Rv4f32,2,Rv4f32.Rv4f32,overload,float4,HasVRF128
CMU,CLAMP,f16,v8f16,Rv8f16,2,Rv8f16.Rv8f16,overload,half8,HasVRF128
CMU,CLAMP,i32,v4i32,Rv4i32,2,Rv4i32.Rv4i32,overload,int4,HasVRF128
CMU,CLAMP,i16,v8i16,Rv8i16,2,Rv8i16.Rv8i16,overload,short8,HasVRF128
CMU,CLAMP,i8,v16i8,Rv16i8,2,Rv16i8.Rv16i8,overload,char16,HasVRF128
CMU,CLAMP,f32,,Rf32,2,Rf32.Rf32,overload,float,
